,0,,,
AKZOINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
ALANKIT,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ALBERTDAVD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALEMBICLTD,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ALICON,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ALIVUS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALKALI,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALKEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALKYLAMINE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALLCARGO,Services,Services,Transport Services,Logistics Solution Provider
ALLDIGI,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ALMONDZ,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ALOKINDS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ALPA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALPHAGEO,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ALPSINDUS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AMBER,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
AMBICAAGAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products
AMBIKCO,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AMBUJACEM,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
AMDIND,Industrials,Capital Goods,Industrial Products,Packaging
AMIORG,Invalid Symbol,,,
AMJLAND,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
AMNPLST,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AMRUTANJAN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANANDRATHI,Financial Services,Financial Services,Capital Markets,Financial Products Distributor
ANANTRAJ,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ANDHRAPAP,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ANDHRSUGAR,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ANGELONE,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ANIKINDS,Services,Services,Commercial Services & Supplies,Trading & Distributors
ANMOL,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Trading - Coal
ANSALAPI,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ANTGRAPHIC,Industrials,Capital Goods,Industrial Products,Packaging
ANUHPHR,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ANUP,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
ANURAS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
APARINDS,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
APCL,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
APCOTEXIND,Industrials,Capital Goods,Industrial Products,Rubber
APEX,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood
APLAPOLLO,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
APLLTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
APOLLO,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
APOLLOHOSP,Healthcare,Healthcare,Healthcare Services,Hospital
APOLLOPIPE,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
APOLLOTYRE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
APOLSINHOT,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
APTECHT,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
APTUS,Financial Services,Financial Services,Finance,Housing Finance Company
ARCHIDPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ARCHIES,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products
ARE&M,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ARENTERP,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ARIES,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
ARIHANTCAP,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ARIHANTSUP,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ARKADE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ARMANFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AROGRANITE,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles
ARROWGREEN,Industrials,Capital Goods,Industrial Products,Packaging
ARSHIYA,Services,Services,Transport Services,Logistics Solution Provider
ARTEMISMED,Healthcare,Healthcare,Healthcare Services,Hospital
ARTNIRMAN,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ARVEE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ARVIND,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
ARVINDFASN,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ARVSMART,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ASAHIINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASAHISONG,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
ASAL,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASALCBR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
ASHAPURMIN,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
ASHIANA,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ASHIMASYN,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ASHOKA,Industrials,Construction,Construction,Civil Construction
ASHOKAMET,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
ASHOKLEY,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
ASIANENE,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
ASIANHOTNR,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ASIANPAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
ASIANTILES,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics
ASKAUTOLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ASMS,Information Technology,Information Technology,IT - Services,IT Enabled Services
ASPINWALL,Services,Services,Transport Services,Logistics Solution Provider
ASTEC,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ASTERDM,Healthcare,Healthcare,Healthcare Services,Hospital
ASTRAL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
ASTRAMICRO,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ASTRAZEN,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ASTRON,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
ATALREAL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ATAM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
ATGL,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier
ATL,Services,Services,Transport Infrastructure,Port & Port services
ATLANTAA,Industrials,Construction,Construction,Civil Construction
ATLASCYCLE,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles
ATUL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ATULAUTO,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
AUBANK,Financial Services,Financial Services,Banks,Other Bank
AURIONPRO,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
AUROPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AURUM,Information Technology,Information Technology,IT - Services,IT Enabled Services
AUSOMENT,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AUTOAXLES,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AUTOIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AVADHSUGAR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
AVALON,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
AVANTEL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AVANTIFEED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed
AVG,Services,Services,Transport Services,Logistics Solution Provider
AVL,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
AVONMORE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AVROIND,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
AVTNPL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AWFIS,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AWHCL,Utilities,Utilities,Other Utilities,Waste Management
AWL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AXISBANK,Financial Services,Financial Services,Banks,Private Sector Bank
AXISCADES,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AXITA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AYMSYNTEX,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AZAD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BAFNAPH,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BAGFILMS,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
BAIDFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
BAJAJ-AUTO,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers
BAJAJCON,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
BAJAJELEC,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
BAJAJFINSV,Financial Services,Financial Services,Finance,Holding Company
BAJAJHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BAJAJHFL,Financial Services,Financial Services,Finance,Housing Finance Company
BAJAJHIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
BAJAJHLDNG,Financial Services,Financial Services,Finance,Holding Company
BAJAJINDEF,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
BAJEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BAJFINANCE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
BALAJEE,Industrials,Capital Goods,Industrial Products,Packaging
BALAJITELE,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
BALAMINES,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
BALAXI,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BALKRISHNA,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
BALKRISIND,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
BALMLAWRIE,Diversified,Diversified,Diversified,Diversified
BALPHARMA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BALRAMCHIN,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
BALUFORGE,Industrials,Capital Goods,Industrial Products,Castings & Forgings
BANARBEADS,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
BANARISUG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
BANCOINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BANDHANBNK,Financial Services,Financial Services,Banks,Private Sector Bank
BANG,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
BANKA,Industrials,Construction,Construction,Civil Construction
BANKBARODA,Financial Services,Financial Services,Banks,Public Sector Bank
BANKINDIA,Financial Services,Financial Services,Banks,Public Sector Bank
BANSALWIRE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
BANSWRAS,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BARBEQUE,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
BASF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
BASML,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BATAINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
BAYERCROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
BBL,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
BBOX,Information Technology,Information Technology,IT - Services,IT Enabled Services
BBTC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
BBTCL,Industrials,Capital Goods,Industrial Products,Packaging
BCLIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
BCONCEPTS,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
BDL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
BEARDSELL,Industrials,Capital Goods,Industrial Products,Other Industrial Products
BECTORFOOD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
BEDMUTHA,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
BEL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
BEML,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
BEPL,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
BERGEPAINT,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
BESTAGRO,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
BFINVEST,Financial Services,Financial Services,Finance,Holding Company
BFUTILITIE,Services,Services,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
BGRENERGY,Industrials,Construction,Construction,Civil Construction
BHAGCHEM,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
BHAGERIA,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
BHAGYANGR,Commodities,Metals & Mining,Non - Ferrous Metals,Copper
BHANDARI,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BHARATFORG,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BHARATGEAR,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BHARATRAS,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
BHARATSE,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BHARATWIRE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
BHARTIARTL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
BHARTIHEXA,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
BHEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BIGBLOC,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
BIKAJI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
BIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products
BINANIIND,Financial Services,Financial Services,Finance,Holding Company
BIOCON,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BIOFILCHEM,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BIRLACABLE,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories
BIRLACORPN,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
BIRLAMONEY,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
BIRLANU,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
BLACKBUCK,Services,Services,Transport Services,Transport Related Services
BLAL,Financial Services,Financial Services,Finance,Investment Company
BLBLIMITED,Financial Services,Financial Services,Finance,Investment Company
BLISSGVS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BLKASHYAP,Industrials,Construction,Construction,Civil Construction
BLS,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services"
BLSE,Information Technology,Information Technology,IT - Services,IT Enabled Services
BLUECHIP,Financial Services,Financial Services,Finance,Investment Company
BLUECOAST,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
BLUEDART,Services,Services,Transport Services,Logistics Solution Provider
BLUEJET,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BLUESTARCO,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
BODALCHEM,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
BOHRAIND,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
BOMDYEING,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BOROLTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
BORORENEW,Industrials,Capital Goods,Industrial Products,Glass - Industrial
BOROSCI,Industrials,Capital Goods,Industrial Products,Glass - Industrial
BOSCHLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
BPCL,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
BPL,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
BRIGADE,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
BRITANNIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
BRNL,Industrials,Construction,Construction,Civil Construction
BROOKS,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BSE,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
BSHSL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
BSL,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
BSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
BTML,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Digital Entertainment
BURNPUR,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
BUTTERFLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
BVCL,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
BYKE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
CALSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
CAMLIN-RE,Invalid Symbol,,,
CAMLINFINE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
CAMPUS,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
CAMS,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
CANBK,Financial Services,Financial Services,Banks,Public Sector Bank
CANFINHOME,Financial Services,Financial Services,Finance,Housing Finance Company
CANTABIL,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
CAPACITE,Industrials,Construction,Construction,Civil Construction
CAPITALSFB,Financial Services,Financial Services,Banks,Other Bank
CAPLIPOINT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
CAPTRUST,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
CARBORUNIV,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
CAREERP,Invalid Symbol,,,
CARERATING,Financial Services,Financial Services,Capital Markets,Ratings
CARRARO,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
CARTRADE,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
CARYSIL,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
CASTROLIND,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
CCCL,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
CCHHL,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
CCL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
CDSL,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries"
CEATLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
CEIGALL,Industrials,Construction,Construction,Civil Construction
CELEBRITY,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
CELLO,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware
CENTENKA,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
CENTEXT,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
CENTRALBK,Financial Services,Financial Services,Banks,Public Sector Bank
CENTRUM,Financial Services,Financial Services,Finance,Other Financial Services
CENTUM,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
